object,goal,gameID,word,group,count
african-kanzu,entertaining,1566-0114ffb0-1c17-4c92-8336-6096e8959aa6,"['African', 'kanzu', 'long', 'tunic-like', 'shirt', 'kofia', 'East', 'Africa', 'cultural', 'significance', 'design', 'prayer', 'and', 'special', 'occasions', 'weddings', 'holidays', 'fabrics', 'embroidery']",1,19
african-kanzu,entertaining,0676-c95c96f5-f1df-4987-8219-af03db4f45d8,"['African', 'kanzu', 'coastal', 'regions', 'of', 'East', 'Africa', 'artisans', 'prayer', 'ceremonies', 'and', 'celebrations', 'grooms', 'formal', 'attire', 'cotton', 'linen', 'embroidery', 'kofia']",2,19
african-kanzu,entertaining,3738-2cf5f201-5400-4d66-b90f-c63b088e5bfe,"['garment', 'shirt', 'symbol', 'Arabian', 'styles', 'weddings', 'fabrics', 'collar', 'cuffs', 'embellishments', 'cap', 'lines', 'silhouette', 'techniques', 'climate', 'attire', 'ceremonies', 'celebrations']",1,18
african-kanzu,entertaining,4399-a173238d-d89b-4f41-8185-5dcf854f28a0,"['kanzu', 'Kenya', 'weddings', 'kofia', 'decorative', 'elements', 'Tanzania', 'Uganda', 'Swahili', 'culture', 'local', 'artisans', 'local', 'Arabian', 'styles', 'Muslim', 'men', 'ceremonies']",2,18
african-kanzu,entertaining,6472-bdccd205-37f2-4d4a-975a-a0747f6683f2,"['clean', 'matching', 'cultural', 'Islamic', 'religious', 'prayer', 'occasions', 'weddings', 'Eid', 'embroidery', 'embellishments', 'ankles', 'dignified', 'Kenya', 'Tanzania', 'Uganda', 'Swahili', 'artisans', 'climate']",1,19
african-kanzu,entertaining,7726-029b2609-da65-45a5-91c5-e3b3a7c4038b,"['flowing', 'loose-fitting', 'design', 'loose-fitting', 'design', 'crafting', 'kanzus', 'ceremonies', 'cultural', 'pride', 'weddings', 'religious', 'holidays', 'fabrics', 'decorative', 'elements']",2,16
african-kanzu,entertaining,0915-8d8dd230-b693-4bb4-b4c5-f4181f100db8,"['African', 'kanzu', 'matching', 'cap', 'collar', 'cuffs', 'matching', 'fabric', 'artisans', 'men', 'sewing', 'techniques', 'Arabian', 'styles', 'prayer', 'religious', 'holidays', 'weddings', 'embroidery']",1,19
african-kanzu,entertaining,5587-b792fc0b-f031-4900-bd2c-8a503ae633f2,"['loose-fitting', 'matching', 'celebrations', 'weddings', 'holidays', 'lightweight', 'accompanying', 'cap', 'matching', 'fabric', 'simplicity', 'charm', 'comfort', 'warm', 'Swahili', 'Islamic', 'culture', 'local', 'cultural', 'pride']",2,20
african-kanzu,entertaining,2747-df1a3e6d-422d-46dc-ab9a-8ca89a2a383e,"['traditional', 'garment', 'Skilled', 'local', 'artisans', 'Arabian', 'styles', 'cultural', 'pride', 'weddings', 'Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha', 'decorative']",1,16
african-kanzu,entertaining,3130-d00ed9bf-9cbc-4a50-8064-68bb68336aed,"['flowing', 'and', 'loose-fitting', 'design', 'Swahili', 'culture', 'warm', 'climate', 'local', 'and', 'Arabian', 'styles', 'prayer', 'life', 'events', 'holidays', 'weddings', 'subtle', 'embroidery', 'decorative']",2,20
african-kanzu,entertaining,2326-2b4cabfc-9edb-4dc3-a8dc-d1657d493567,"['African', 'kanzu', 'Kenya', 'Tanzania', 'and', 'Uganda', 'Islamic', 'culture', 'life', 'events', 'and', 'religious', 'holidays', 'Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha', 'cotton', 'kofia']",1,20
african-kanzu,entertaining,1431-46f18107-753b-4a7c-a99b-4ff440dfd64f,"['African', 'kanzu', 'East', 'Africa', 'religious', 'holidays', 'kofia', 'subtle', 'embroidery', 'or', 'decorative', 'elements', 'cultural', 'pride', 'Islamic', 'culture', 'Eid', 'al-Fitr', 'Eid', 'al-Adha']",2,20
african-kanzu,entertaining,0207-93bf58f2-a3b1-4757-8097-f84f822cb218,"['traditional', 'dignified', 'garment', 'flowing', 'and', 'loose-fitting', 'design', 'long', 'tunic-like', 'shirt', 'that', 'reaches', 'down', 'to', 'the', 'ankles', 'clean', 'lines', 'modest', 'silhouette']",1,20
african-kanzu,entertaining,1153-f4b8e5ec-985b-4cf6-a44b-16a5a54f1199,"['long', 'tunic-like', 'shirt', 'matching', 'cap', 'Swahili', 'culture', 'weddings', 'Eid', 'al-Fitr', 'Eid', 'al-Adha', 'cotton', 'or', 'linen', 'subtle', 'embroidery']",2,17
african-kanzu,entertaining,8984-10c5da4d-88f8-4d23-ba57-ca2a7f44c29c,"['traditional', 'and', 'dignified', 'garment', 'charm', 'modest', 'silhouette', 'Arabian', 'styles', 'Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha', 'worn', 'lightweight', 'and', 'breathable', 'fabrics']",1,19
african-kanzu,entertaining,3615-ff36b7c5-217a-467f-9f4b-b2e8a805d06a,"['flowing', 'African', 'prayer', 'pride', 'weddings', 'grooms', 'Eid', 'al-Fitr', 'Eid', 'al-Adha', 'embroidery', 'embroidery', 'Kenya', 'Tanzania', 'Uganda', 'warm', 'artisans', 'local', 'Arabian', 'Muslim']",2,20
african-kanzu,entertaining,7396-a5825b6c-eb68-4273-90e2-99e0fe43f7a3,"['garment', 'coastal', 'regions', 'of', 'East', 'Africa', 'traditional', 'sewing', 'techniques', 'influence', 'of', 'Islamic', 'culture', 'in', 'the', 'East', 'African', 'coastal', 'areas']",1,19
african-kanzu,entertaining,5586-436b3b93-4e23-43c0-9db9-de2c4ab02cba,"['The', 'African', 'kanzu', 'is', 'a', 'traditional', 'and', 'dignified', 'garment', 'that', 'is', 'characterized', 'by', 'its', 'flowing', 'and', 'loose-fitting', 'design', 'It', 'typically']",2,20
african-kanzu,entertaining,6489-058e0398-b2f1-4780-b752-f7ee22d04e6e,"['The', 'African', 'kanzu', 'matching', 'cap', 'East', 'Africa', 'Islamic', 'culture', 'local', 'and', 'Arabian', 'styles', 'Muslim', 'men', 'during', 'prayer', 'weddings']",1,18
african-kanzu,entertaining,8787-48b96a04-5c74-4801-bc3d-97fe68a11cc6,"['African', 'kanzu', 'flowing', 'and', 'loose-fitting', 'design', 'matching', 'cap', 'Swahili', 'local', 'and', 'Arabian', 'styles', 'historical', 'and', 'religious', 'importance', 'Eid', 'al-Fitr', 'embroidery']",2,20
african-kanzu,entertaining,2341-1a325b6d-b394-4195-87b9-3ee6a51ca466,"['kanzu', 'is', 'a', 'traditional', 'and', 'dignified', 'garment', 'is', 'traditionally', 'worn', 'during', 'significant', 'life', 'events', 'and', 'religious', 'holidays']",1,17
african-kanzu,entertaining,0064-198d7f35-84d5-4d44-b7c7-a26615ddc29f,"['African', 'kanzu', 'matching', 'cap', 'East', 'Africa', 'Arabian', 'styles', 'special', 'occasions', 'prayer', 'weddings', 'Muslim', 'communities', 'collar', 'kofia']",2,16
african-kanzu,entertaining,8897-2940275c-944f-4576-b985-b795e28828d4,"['long', 'tunic-like', 'shirt', 'ankles', 'matching', 'cap', 'traditional', 'sewing', 'techniques', 'prayer', 'and', 'special', 'occasions', 'weddings', 'Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha', 'kofia']",1,20
african-kanzu,entertaining,1982-dd342227-69c6-4e16-9431-685975ebadc5,"['flowing', 'and', 'loose-fitting', 'design', 'It', 'holds', 'historical', 'and', 'religious', 'importance', 'often', 'worn', 'by', 'Muslim', 'men', 'during', 'prayer', 'and', 'special', 'occasions']",2,20
african-kanzu,entertaining,3235-b0c498ef-15ce-40de-98f4-18961dc88fc2,"['African', 'kanzu', 'coastal', 'regions', 'of', 'East', 'Africa', 'Swahili', 'culture', 'artisans', 'cultural', 'pride', 'ceremonies', 'Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha', 'cotton', 'linen']",1,20
african-kanzu,entertaining,7975-dc71f56f-1d4a-4200-8b11-6f0354dadcd8,"['African', 'kanzu', 'long', 'tunic-like', 'shirt', 'Eid', 'al-Fitr', 'Eid', 'al-Adha', 'traditional', 'sewing', 'techniques', 'garments', 'design', 'worn', 'by', 'Muslim', 'men', 'accompanying', 'cap']",2,20
african-kanzu,entertaining,1995-532114d0-3058-4168-9fb9-0bdc10af2dae,"['flowing', 'and', 'loose-fitting', 'design', 'holidays', 'like', 'Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha', 'showcasing', 'the', 'artisans', 'skill', 'and', 'attention', 'to', 'detail']",1,19
african-kanzu,entertaining,1170-98052203-8761-435c-9ade-8c882d2261ed,"['African', 'kanzu', 'long', 'tunic-like', 'shirt', 'matching', 'cap', 'often', 'men', 'Muslim', 'men', 'during', 'prayer', 'special', 'occasions', 'formal', 'attire', 'weddings', 'kofia', 'Muslim']",2,20
african-kanzu,entertaining,5615-3e03d731-fbc4-4114-966d-c1e4d25b989c,"['flowing', 'design', 'Africa', 'coastal', 'regions', 'religious', 'holidays', 'weddings', 'historical', 'cotton', 'cotton', 'embroidery', 'garment', 'traditional', 'long', 'tunic-like', 'shirt', 'matching', 'cap', 'East']",1,20
african-kanzu,entertaining,1805-3f1fb407-24ab-432a-9fbf-e1f0bf182f4b,"['flowing', 'loose-fitting', 'design', 'holidays', 'Eid', 'al-Fitr', 'cotton', 'linen', 'embroidery', 'silhouette', 'Swahili', 'culture', 'artisans', 'sewing', 'coastal', 'religious', 'ceremonies', 'celebrations']",2,18
african-kanzu,entertaining,5812-9f8253b5-efce-430c-824d-42d64ff578eb,"['long', 'tunic-like', 'shirt', 'that', 'reaches', 'down', 'to', 'the', 'ankles', 'paired', 'with', 'a', 'matching', 'cap', 'religious', 'holidays', 'kofia', 'cotton', 'or', 'linen']",1,20
african-kanzu,entertaining,8392-f2d051cb-89d7-4ccf-8c82-aeafae2dffb7,"['decorative', 'simplicity', 'is', 'its', 'charm', 'clean', 'lines', 'and', 'modest', 'silhouette', 'elements', 'subtle', 'embroidery', 'special', 'occasions', 'religious', 'holidays']",2,17
african-kanzu,entertaining,5298-b1de7a03-78b4-4813-902c-de09fcc7800d,"['dignified', 'flowing', 'pride', 'ceremonies', 'celebrations', 'significant', 'holidays', 'weddings', 'embroidery', 'decorative', 'embellishments', 'matching', 'cap', 'rich', 'history', 'artisans', 'traditional', 'significance', 'local', 'Arabian']",1,20
african-kanzu,entertaining,2087-1cf621ba-cef6-47df-8047-f7291aefc3d9,"['flowing', 'and', 'loose-fitting', 'design', 'rich', 'history', 'tied', 'to', 'the', 'Swahili', 'culture', 'religious', 'holidays', 'Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha']",2,18
african-kanzu,entertaining,2352-1dac7051-b8f5-455d-a6c2-d9e10ddde5f2,"['kanzu', 'is', 'traditionally', 'worn', 'during', 'significant', 'life', 'events', 'and', 'religious', 'holidays', 'adorned', 'with', 'subtle', 'embroidery', 'or', 'decorative', 'elements', 'dignified', 'garment']",1,20
african-kanzu,entertaining,5112-69aeb9d9-5535-4385-ada1-874930c977d8,"['flowing', 'and', 'loose-fitting', 'design', 'Swahili', 'culture', 'sewing', 'Islamic', 'culture', 'religious', 'holidays', 'embroidery', 'or', 'decorative', 'elements']",2,15
african-kanzu,entertaining,8015-c4949bc8-493a-48a6-8dcc-603bbd92f346,"['African', 'kanzu', 'loose-fitting', 'design', 'matching', 'cap', 'Kenya', 'Tanzania', 'and', 'Uganda', 'Swahili', 'culture', 'cultural', 'significance', 'Islamic', 'culture', 'formal', 'attire', 'Eid', 'kofia']",1,20
african-kanzu,entertaining,7595-b11186c6-a37f-46c6-8715-a15effb62425,"['dignified', 'garment', 'formal', 'attire', 'subtle', 'embroidery', 'cuffs', 'flowing', 'loose-fitting', 'loose-fitting', 'tunic-like', 'shirt', 'long', 'cultural', 'pride']",2,15
african-kanzu,entertaining,8837-1ec0ba52-f532-4cff-954e-d92f9750cbb9,"['kanzu', 'became', 'a', 'symbol', 'of', 'cultural', 'pride', 'selecting', 'lightweight', 'and', 'breathable', 'fabrics', 'clean', 'lines', 'and', 'modest', 'silhouette']",1,17
african-kanzu,entertaining,5040-90845805-a2c7-4805-8159-6236326e9ea6,"['loose-fitting', 'design', 'attire', 'lightweight', 'breathable', 'fabrics', 'flowing', 'long', 'tunic-like', 'shirt', 'artisans', 'Arabian', 'styles', 'grooms', 'formal']",2,15
african-kanzu,entertaining,1889-cee4318d-39ad-439c-9772-3c0ecc86946a,"['African', 'kanzu', 'loose-fitting', 'matching', 'cap', 'East', 'Africa', 'sewing', 'Islamic', 'culture', 'Muslim', 'men', 'weddings', 'kofia', 'subtle', 'embellishments']",1,16
african-kanzu,entertaining,2178-40e55439-2bbc-49d9-bc09-7a4fa14241a4,"['African', 'kanzu', 'loose-fitting', 'design', 'East', 'Africa', 'crafting', 'kanzus', 'Arabian', 'styles', 'prayer', 'and', 'special', 'occasions', 'cultural', 'pride', 'religious', 'holidays', 'lightweight', 'breathable']",2,20
african-kanzu,entertaining,9165-dd1d6433-682b-4678-be4d-b835997483cd,"['garment', 'loose-fitting', 'design', 'modest', 'Swahili', 'Islamic', 'culture', 'religious', 'holidays', 'Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha', 'kofia', 'cap', 'lightweight', 'and', 'breathable', 'fabrics']",1,20
african-kanzu,entertaining,0506-4198bc7a-642d-4d1f-8fa9-f596c207472a,"['flowing', 'and', 'loose-fitting', 'design', 'clean', 'lines', 'and', 'modest', 'silhouette', 'Swahili', 'culture', 'blend', 'of', 'local', 'and', 'Arabian', 'styles', 'significant', 'cotton', 'linen']",2,20
african-kanzu,entertaining,1643-6bc4f785-0402-4187-a0e2-98bd6aeb4019,"['African', 'kanzu', 'loose-fitting', 'design', 'breathable', 'kofia', 'subtle', 'embellishments', 'Swahili', 'culture', 'comfort', 'functionality', 'Arabian', 'styles', 'weddings', 'Eid', 'al-Fitr', 'Eid', 'al-Adha', 'lightweight']",1,20
african-kanzu,entertaining,7347-443694e7-a8a2-4a01-89ae-dd5614905ec8,"['African', 'kanzu', 'flowing', 'celebrations', 'religious', 'holidays', 'kofia', 'loose-fitting', 'East', 'Africa', 'Kenya', 'Tanzania', 'Uganda', 'Swahili', 'culture', 'cultural', 'significance', 'coastal', 'areas']",2,19
african-kanzu,entertaining,0253-654b7119-d421-4f9c-afb7-ae7a912dbe06,"['African', 'kanzu', 'coastal', 'regions', 'of', 'East', 'Africa', 'artisans', 'Arabian', 'styles', 'prayer', 'special', 'occasions', 'kofia', 'weddings', 'religious', 'holidays']",1,17
african-kanzu,entertaining,2772-03801748-1aa5-4563-bea2-ebc98e5d4554,"['African', 'kanzu', 'religious', 'holidays', 'lightweight', 'breathable', 'embellishments', 'garment', 'flowing', 'silhouette', 'charm', 'traditional', 'Kenya', 'Tanzania', 'Uganda']",2,15
african-kanzu,entertaining,2944-95884042-80dc-4e5d-8e04-6d0a31bc4490,"['long', 'tunic-like', 'symbolizing', 'the', 'grooms', 'formal', 'attire', 'kofia', 'completes', 'the', 'ensemble', 'celebrations', 'East', 'Africa', 'particularly', 'countries']",1,16
african-kanzu,entertaining,8421-24a03098-7646-4771-8387-a5e0d8872568,"['African', 'kanzu', 'weddings', 'cotton', 'or', 'linen', 'subtle', 'embroidery', 'collar', 'or', 'cuffs', 'kofia', 'matching', 'fabric', 'clean', 'lines', 'and', 'modest', 'silhouette']",2,19
african-kanzu,entertaining,8342-f305a3d1-3267-4160-99d7-3c117b7a613e,"['kanzu', 'shirt', 'occasions', 'ceremonies', 'celebrations', 'celebrations', 'weddings', 'holidays', 'fabrics', 'embroidery', 'elements', 'cap', 'ankles', 'cap', 'techniques', 'countries', 'areas', 'culture', 'styles', 'prayer']",1,20
african-kanzu,entertaining,7188-af6ef7b0-0c64-4a0d-b261-473edc79a346,"['African', 'kanzu', 'traditional', 'sewing', 'techniques', 'local', 'and', 'Arabian', 'styles', 'weddings', 'Eid', 'al-Fitr', 'and', 'Eid', 'al-Adha', 'subtle', 'embroidery', 'kofia']",2,18
african-kanzu,entertaining,4023-c0715d42-9e0f-48dd-86e0-392f2f88916c,"['flowing', 'and', 'loose-fitting', 'design', 'long', 'tunic-like', 'shirt', 'Skilled', 'local', 'artisans', 'blend', 'of', 'local', 'and', 'Arabian', 'styles', 'during', 'prayer', 'special', 'occasions']",1,20
african-kanzu,entertaining,2752-6d493cb1-7147-456e-b57d-e9ba11b61a92,"['kanzu', 'African', 'kanzus', 'simplicity', 'is', 'its', 'charm', 'Swahili', 'East', 'Africa', 'kanzu', 'has', 'a', 'rich', 'history', 'men', 'kanzus', 'Eid', 'al-Fitr']",2,19
african-kanzu,entertaining,9489-4370d44a-e6a5-48f1-b619-211dafd10360,"['flowing', 'and', 'loose-fitting', 'Kenya', 'Tanzania', 'and', 'Uganda', 'warm', 'climate', 'prayer', 'and', 'special', 'occasions', 'formal', 'attire', 'weddings', 'regions', 'climate', 'embellishments']",1,19
