object,word,entertaining,informative,noun_entertaining,noun_informative,random_entertaining,random_informative,freq_entertaining,freq_informative,1sentence_entertaining,1sentence_informative,sentKey_entertaining,sentKey_informative,token_entertaining,token_informative,chatGPT_entertaining,chatGPT_informative
african-kanzu,has,0.0,0.0,0.0,0.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,historical,16.0,23.0,69.0,56.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,history,14.0,7.0,65.0,68.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0
african-kanzu,holds,2.0,4.0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,holidays,132.0,130.0,64.0,67.0,39.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0
african-kanzu,importance,28.0,19.0,57.0,70.0,34.0,59.0,340.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,important,1.0,4.0,72.0,66.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,in,0.0,0.0,0.0,0.0,87.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,influence,11.0,31.0,74.0,74.0,19.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,infusing,3.0,1.0,0.0,0.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,involves,1.0,1.0,0.0,0.0,16.0,16.0,0.0,0.0,177.0,174.0,256.0,243.0,0.0,0.0,0.0,0.0
african-kanzu,is,0.0,0.0,0.0,0.0,143.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,it,0.0,0.0,0.0,0.0,23.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,its,0.0,0.0,0.0,0.0,77.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,kanzu,227.0,255.0,73.0,80.0,162.0,156.0,331.0,323.0,333.0,359.0,486.0,517.0,320.0,387.0,0.0,320.0
african-kanzu,kanzus,18.0,12.0,62.0,73.0,90.0,71.0,352.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,known,1.0,3.0,0.0,0.0,16.0,26.0,0.0,0.0,157.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,kofia,146.0,145.0,61.0,62.0,27.0,30.0,0.0,0.0,165.0,181.0,242.0,280.0,0.0,0.0,0.0,0.0
african-kanzu,life,55.0,68.0,62.0,76.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,lightweight,40.0,57.0,65.0,41.0,27.0,26.0,0.0,0.0,161.0,159.0,239.0,262.0,0.0,0.0,0.0,0.0
african-kanzu,like,4.0,8.0,0.0,0.0,42.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,linen,52.0,83.0,67.0,62.0,21.0,17.0,0.0,0.0,183.0,174.0,286.0,247.0,342.0,333.0,0.0,0.0
african-kanzu,lines,41.0,20.0,81.0,62.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0
african-kanzu,local,54.0,59.0,71.0,59.0,44.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,long,72.0,71.0,74.0,65.0,38.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,loose-fitting,118.0,100.0,70.0,75.0,21.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0
african-kanzu,made,0.0,0.0,0.0,0.0,15.0,29.0,0.0,0.0,164.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,marking,2.0,0.0,0.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,matching,74.0,77.0,71.0,76.0,41.0,34.0,0.0,0.0,173.0,166.0,0.0,0.0,0.0,0.0,318.0,0.0
african-kanzu,may,1.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,176.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,men,67.0,58.0,69.0,69.0,49.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,342.0,0.0,0.0
african-kanzu,modest,52.0,35.0,71.0,60.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0
african-kanzu,observances,3.0,5.0,79.0,64.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,occasion,7.0,3.0,65.0,68.0,31.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,occasions,45.0,38.0,63.0,84.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,of,0.0,0.0,0.0,0.0,118.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,often,17.0,12.0,0.0,0.0,90.0,108.0,310.0,358.0,178.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,or,0.0,0.0,0.0,0.0,65.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,origins,6.0,2.0,64.0,59.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,paid,2.0,1.0,0.0,0.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,paired,6.0,4.0,0.0,0.0,27.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,particularly,2.0,2.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,prayer,91.0,101.0,65.0,58.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0
african-kanzu,pride,68.0,38.0,73.0,59.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,reaches,14.0,10.0,0.0,0.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,reflecting,2.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,region,3.0,3.0,62.0,68.0,26.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,regions,41.0,60.0,57.0,57.0,61.0,62.0,353.0,328.0,179.0,165.0,255.0,249.0,0.0,0.0,0.0,335.0
african-kanzu,religious,137.0,146.0,73.0,71.0,72.0,61.0,325.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0
african-kanzu,responsible,1.0,6.0,69.0,78.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,rich,15.0,3.0,62.0,73.0,13.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0
african-kanzu,seen,6.0,4.0,0.0,0.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,selecting,2.0,2.0,0.0,0.0,21.0,22.0,0.0,0.0,172.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,sewing,94.0,86.0,64.0,79.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,342.0,0.0,0.0
african-kanzu,shirt,97.0,117.0,72.0,71.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,322.0,342.0,0.0
african-kanzu,showcasing,1.0,1.0,0.0,0.0,19.0,18.0,0.0,0.0,193.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,significance,14.0,11.0,71.0,64.0,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,significant,46.0,67.0,90.0,76.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,silhouette,75.0,42.0,57.0,78.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,368.0,324.0,0.0
african-kanzu,simplicity,21.0,16.0,70.0,81.0,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0
african-kanzu,skill,8.0,6.0,73.0,56.0,25.0,19.0,0.0,0.0,158.0,164.0,255.0,232.0,0.0,0.0,0.0,0.0
african-kanzu,special,39.0,33.0,74.0,66.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,styles,70.0,72.0,63.0,66.0,22.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,subtle,61.0,28.0,49.0,62.0,48.0,32.0,361.0,351.0,316.0,331.0,506.0,516.0,0.0,0.0,0.0,0.0
african-kanzu,such,0.0,0.0,50.0,65.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,suited,1.0,2.0,0.0,0.0,20.0,21.0,0.0,0.0,183.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,symbol,30.0,18.0,68.0,68.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,symbolizing,8.0,5.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0
african-kanzu,techniques,67.0,64.0,64.0,64.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,that,0.0,0.0,0.0,0.0,45.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,the,0.0,0.0,0.0,0.0,395.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,tied,3.0,4.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,time,1.0,1.0,80.0,64.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,to,0.0,0.0,0.0,0.0,103.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,traced,2.0,4.0,0.0,0.0,21.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,traditional,106.0,108.0,76.0,76.0,48.0,42.0,328.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0
african-kanzu,traditionally,8.0,4.0,0.0,0.0,19.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,tunic-like,106.0,116.0,68.0,59.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,354.0,351.0,0.0
african-kanzu,typically,4.0,3.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,using,6.0,1.0,0.0,0.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,various,11.0,4.0,58.0,69.0,28.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,warm,37.0,27.0,62.0,64.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,was,0.0,0.0,0.0,0.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,weddings,166.0,135.0,76.0,72.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,370.0,0.0,367.0
african-kanzu,were,0.0,0.0,0.0,0.0,18.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,which,0.0,0.0,0.0,0.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,while,0.0,0.0,0.0,0.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,with,0.0,0.0,0.0,0.0,115.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african-kanzu,worn,24.0,22.0,77.0,64.0,71.0,67.0,301.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almas-caviar,Afterward,0.0,0.0,82.0,81.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almas-caviar,Almas,228.0,229.0,72.0,89.0,161.0,191.0,332.0,305.0,486.0,475.0,636.0,607.0,343.0,353.0,327.0,333.0
almas-caviar,As,0.0,0.0,0.0,0.0,46.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almas-caviar,Asia,23.0,47.0,86.0,55.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almas-caviar,Beluga,241.0,284.0,77.0,72.0,115.0,96.0,351.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,312.0
almas-caviar,Caspian,153.0,250.0,91.0,79.0,40.0,40.0,359.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,347.0
almas-caviar,Due,1.0,0.0,111.0,90.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almas-caviar,Europe,24.0,48.0,85.0,88.0,28.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almas-caviar,It,0.0,0.0,0.0,0.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almas-caviar,Persian,15.0,16.0,85.0,76.0,31.0,31.0,0.0,0.0,233.0,210.0,299.0,304.0,0.0,0.0,0.0,0.0
almas-caviar,Preparing,8.0,14.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almas-caviar,Sea,153.0,246.0,86.0,73.0,48.0,43.0,327.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almas-caviar,The,0.0,0.0,0.0,0.0,100.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almas-caviar,a,0.0,0.0,0.0,0.0,123.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
